#OTU ID	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20	Sample_21	Sample_22	Sample_23	Sample_24	Sample_25	Sample_26	Sample_27	Sample_28	Sample_29	Sample_30	Sample_31	Sample_32	Sample_33	Sample_34	Sample_35	Sample_36	Sample_37	Sample_38	Sample_39	Sample_40	Sample_41	Sample_42	Sample_43	Sample_44	Sample_45	Sample_46	Sample_47	Sample_48	Sample_49	Sample_50	Sample_51	Sample_52	Sample_53	Sample_54	Sample_55	Sample_56	Sample_57	Sample_58	Sample_59	Sample_60	Sample_61	Sample_62	Sample_63	Sample_64	Sample_65	Sample_66	Sample_67	Sample_68	Sample_69	Sample_70	Sample_71	Sample_72	Sample_73	Sample_74	Sample_75	Sample_76	Sample_77	Sample_78	Sample_79	Sample_80	Sample_81	Sample_82	Sample_83	Sample_84	Sample_85	Sample_86	Sample_87	Sample_88	Sample_89	Sample_90	Sample_91	Sample_92	Sample_93	Sample_94	Sample_95	Sample_96	Sample_97	Sample_98	Sample_99	Sample_100	Sample_101	Sample_102	Sample_103	Sample_104	Sample_105	Sample_106	Sample_107	Sample_108	Sample_109	Sample_110	Sample_111	Sample_112	Sample_113	Sample_114	Sample_115	Sample_116	Sample_117	Sample_118	Sample_119	Sample_120	Sample_121	Sample_122	Sample_123	Sample_124	Sample_125	Sample_126	Sample_127	Sample_128	Sample_129	Sample_130	Sample_131	Sample_132	Sample_133	Sample_134	Sample_135	Sample_136	Sample_137	Sample_138	Sample_139	Sample_140	Sample_141	Sample_142	Sample_143	Sample_144	Sample_145	Sample_146	Sample_147	Sample_148	Sample_149	Sample_150	Sample_151	Sample_152	Sample_153	Sample_154	Sample_155	Sample_156	Sample_157	Sample_158	Sample_159	Sample_160	Sample_161	Sample_162	Sample_163	Sample_164	Sample_165	Sample_166	Sample_167	Sample_168	Sample_169	Sample_170	Sample_171	Sample_172	Sample_173	Sample_174	Sample_175	Sample_176	Sample_177	Sample_178	Sample_179	Sample_180	Sample_181	Sample_182	Sample_183	Sample_184	Sample_185	Sample_186	Sample_187	Sample_188	Sample_189	Sample_190	Sample_191	Sample_192	Sample_193	Sample_194	Sample_195	Sample_196	Sample_197	Sample_198	Sample_199	Sample_200	Sample_201	Sample_202	Sample_203	Sample_204	Sample_205	Sample_206	Sample_207	Sample_208	Sample_209	Sample_210	Sample_211	Sample_212	Sample_213	Sample_214	Sample_215	Sample_216	Sample_217	Sample_218	Sample_219	Sample_220	Sample_221	Sample_222	Sample_223	Sample_224	Sample_225	Sample_226	Sample_227	Sample_228	Sample_229	Sample_230	Sample_231	Sample_232	Sample_233	Sample_234	Sample_235	Sample_236	Sample_237	Sample_238	Sample_239	Sample_240	Sample_241	Sample_242	Sample_243	Sample_244	Sample_245	Sample_246	Sample_247	Sample_248	Sample_249	Sample_250	Sample_251	Sample_252	Sample_253	Sample_254	Sample_255	Sample_256	Sample_257	Sample_258	Sample_259	Sample_260	Sample_261	Sample_262	Sample_263	Sample_264	Sample_265	Sample_266	Sample_267	Sample_268	Sample_269	Sample_270	Sample_271	Sample_272	Sample_273	Sample_274	Sample_275	Sample_276	Sample_277	Sample_278	Sample_279	Sample_280	Sample_281	Sample_282	Sample_283	Sample_284	Sample_285	Sample_286	Sample_287	Sample_288	Sample_289	Sample_290	Sample_291	Sample_292	Sample_293	Sample_294	Sample_295	Sample_296	Sample_297	Sample_298	Sample_299	Sample_300
Species_1	6369	0	0	0	0	43048	0	0	600	20892	7206	0	0	0	0	0	3375	0	453	0	0	76	0	1354	0	0	13085	0	0	0	68	0	0	353	0	0	0	0	74	6606	0	1931	0	0	291541	0	1205	47240	0	0	0	0	0	0	0	0	948	9560	0	8566	438969	0	0	0	0	907	0	0	9172	53209	0	0	0	0	0	0	0	82577	9538	18154	0	0	0	0	79	0	0	0	16822	0	36536	0	0	142216	0	1120	0	0	0	0	0	0	0	0	0	0	0	37961	0	0	0	0	0	24136	0	0	1726	0	0	5358	345	1133	130	0	0	0	0	6180	0	18259	0	0	0	0	0	0	14162	0	0	0	0	0	0	742	0	6339	0	0	3232	0	0	0	0	0	0	0	0	0	0	16105	0	0	8262	0	0	0	0	0	205	0	0	0	83542	0	446	0	11573	0	0	0	301390	0	4744	15895	75	0	0	28068	0	0	0	0	0	0	65835	0	0	0	0	0	9964	0	0	0	0	0	0	0	0	0	6189	0	41947	0	0	0	0	9911	0	0	20122	0	0	0	0	0	1291915	0	2785	0	0	0	0	342640	0	0	1562	57839	0	1560	0	199	0	0	0	0	0	3271	0	0	7224	0	1958	0	0	0	0	0	5097	135	0	0	0	14526	0	0	0	0	0	8141	1281	0	2227	213921	0	0	0	7087	38452	88975	0	0	0	7190	6555	14370	23876	0	0	0	321786	0	6979	5154	0	2493	0	0	0	5887
Species_2	0	0	3211	0	0	0	0	0	0	2226	55400	21780	0	0	0	0	3428	0	0	0	0	1041	0	0	0	719	33913	0	2309	0	0	0	0	0	0	0	0	9531	0	2799	0	0	63744	0	17982	0	181	14496	0	0	0	0	0	0	0	4329	9247	696	0	0	23247	0	0	0	0	0	0	0	0	9559	0	1482	0	0	0	0	0	587	0	5240	6582	0	0	0	2246	0	0	0	0	0	0	0	2415	18270	638	0	0	0	0	2520	0	0	0	0	0	0	0	0	0	0	0	0	0	6334	0	0	0	0	0	0	0	0	5335	25546	0	11127	0	0	0	45938	0	0	19621	0	0	2491	0	0	0	0	0	0	0	1796	2060	0	0	0	3301	0	8345	0	0	0	0	0	0	0	1289	0	0	0	0	0	0	8034	0	0	118	138	743	0	6514	0	294	0	13088	0	0	0	49866	4585	7318	767	0	0	0	4070	0	0	0	0	0	4913	10906	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	2407	0	0	2257	2672	2600	104	0	0	0	0	0	0	0	170136	0	0	0	1181	0	0	0	0	0	0	0	0	0	0	0	13400	0	0	546	0	3772	0	1820	1267	0	0	0	2657	0	0	0	403	0	4722	0	0	0	691	0	0	0	0	0	7228	0	0	33346	0	0	0	0	6318	21754	0	0	0	0	0	21583	9731	0	1783	0	33779	0	0	0	11455	0	0	384	0	7348
Species_3	7241	0	6372	1695	0	3262	98	0	222	85230	1133	5905	0	24608	0	14174	7181	460	565	0	66	444	0	2240	0	8505	15012	0	175253	0	0	187	3537	706	0	0	0	0	19988	76575	0	477	49987	0	111092	0	456	1347	0	0	0	0	0	0	0	11732	13170	0	0	74314	6306	0	126203	0	55613	614	0	0	4731	2568	0	1829	3507	0	0	0	0	0	0	37861	0	7277	0	0	0	0	10092	8256	89528	0	28357	0	305	34686	29422	891	109551	0	0	8274	2730	0	9964	0	0	0	0	1298	0	0	0	0	11063	69112	3891	1707	14275	0	0	1122	0	0	140	29451	0	0	925	0	570	1324	0	5211	17643	22804	6084	0	0	0	0	0	1007	0	0	1315	0	10525	2538	0	1033	1665	29346	11851	0	0	0	0	0	0	597	0	1812	0	4123	0	0	9208	7751	4068	0	0	65568	0	23925	43313	154	25646	2178	5063	230816	127	27355	47965	3470	11397	0	0	0	346	0	716	718	26532	4202	4546	13087	1505	0	0	1626	9862	942	10421	0	0	2455	1606	19299	0	2429	0	2083	235	373170	0	8510	4884	81015	0	187	0	13355	0	3813	0	0	0	245619	0	1776	0	1123	739	1762	8675	0	25531	301	33726	0	0	0	0	35382	0	0	0	0	3168	0	7268	988	7016	0	0	3448	7679	10475	12916	12130	0	5976	0	0	12063	2365	0	0	0	0	3416	0	0	14803	14627	0	0	0	0	2128	1507	0	0	0	0	227	3670	751	3233	12977	11089	9590	3530	0	270	547	0	52941	1608	0	4601
Species_4	0	0	0	2959	2712	0	3161	0	266	6002	24677	22349	390	44035	0	7103	11958	0	238	0	497	1877	0	0	0	849	32759	523	1042	0	0	0	0	0	0	0	0	172	0	8522	0	917	29328	310	76548	1115	1173	10069	0	0	0	1605	15803	0	11568	1609	18943	3592	844	2097	104395	0	0	0	49772	4031	927	2069	26262	16566	2632	0	0	2029	0	0	0	12552	0	6529	11102	0	2848	0	10126	932	1704	8918	34725	571	33142	627	4847	117572	42035	2544	69862	0	0	1280	936	619	0	220	0	0	0	2720	0	4107	562	243	0	8436	0	0	0	299	0	254	3027	0	3410	7996	0	32705	1325	4506	0	6728	0	2857	2401	0	5934	27930	0	4626	2060	0	0	0	0	6764	30665	0	11430	0	2857	0	0	83	0	6673	0	392	174	0	0	2902	1016	2442	3664	0	0	8144	0	7988	0	3646	25889	2578	26062	0	239	0	27444	1737	0	0	436834	6181	17932	1749	1110	0	158	10821	0	0	3349	158	664	0	58344	0	0	0	291	0	0	3099	0	13155	0	0	2015	0	0	0	0	1075	6886	613	4480	0	27340	0	0	0	21287	455	160	0	0	0	247756	0	672	0	1583	1507	0	39371	0	5544	470	12123	1472	0	0	0	3589	1492	571	141	0	7973	610	0	3498	0	3770	0	0	0	0	6560	1628	1496	29810	0	1451	0	4263	0	0	1402	0	8543	50466	0	0	13075	0	90	0	500	0	31917	3003	0	847	1701	0	14989	12886	21276	0	0	187088	4756	821	0	0	0	207	4256	0	7379
Species_5	0	0	0	0	0	0	0	1499	0	0	513	3682	0	0	0	0	205	0	0	249	0	0	0	0	0	0	330	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	323	0	414	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	1210	0	0	0	454	0	0	0	293	0	0	0	0	0	3172	0	0	45	0	0	247	56	0	1909	0	0	0	0	440	0	99	0	0	1518	296	0	438	0	0	0	0	0	0	147	0	0	0	1504	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	3167	0	0	0	0	541	0	0	0	0	0	0	0	0	507	0	0	0	0	0	0	1870	0	0	0	0	0	0	0	0	0	0	0	0	0	391	0	0	0	0	0	0	141	0	0	0	464	0	0	0	5591	0	0	0	0	0	0	0	0	0	0	1451	0	0	690	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	138	0	0	0	0	0	1995	0	0	0	0	0	0	5087	0	622	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1015	0	0	0	0	1373	0	23799	0	0	0	0	0	0	0	1161	0	0	0	0	0	0	0	0	786	0	0	0	0	0	0	0	138	0	209	2743	0	0	0	0	0	6165	0	0	0
Species_6	0	0	0	165837	0	842967	158324	0	162156	295081	1660867	0	0	371380	0	362356	45100	264787	47310	0	77502	223702	0	0	0	273022	69787	277406	0	318275	0	0	0	293599	158627	0	294496	91167	0	111225	836509	693418	31627	0	207728	126241	300298	0	0	599320	0	105934	224442	41784	47249	865566	6949	9609	118989	296266	0	124105	22700	0	260644	77598	34835	168945	184254	0	375825	89892	9966	54022	0	609998	266677	0	0	147773	0	972	385569	0	153678	378786	68167	0	73617	0	601777	0	0	0	171368	267538	569898	0	0	0	132953	0	0	0	123344	907619	0	0	285963	15957	0	5543	0	168800	0	0	0	68218	0	0	213754	0	333449	94201	0	26453	467993	287726	151518	310280	2573240	0	531719	0	370995	140330	0	200083	171974	102298	0	1275051	353301	469260	79109	0	104895	106082	23653	411059	0	409826	0	658229	0	51272	0	0	626707	365399	0	0	106983	0	2472	329528	0	109049	62015	0	95547	108421	139948	32373	0	0	87582	1459675	0	0	0	608021	160678	0	437636	0	341371	99902	4581	443014	414169	947084	335475	0	0	0	0	0	566332	403558	123472	315943	109563	105594	0	0	0	200807	169913	39542	1879178	232031	160019	56225	44513	0	40468	311240	287854	0	86860	122790	2656279	0	0	442183	11447	419656	39891	373144	36649	127409	663835	0	0	202783	44093	0	191042	0	127119	311704	0	88921	230986	0	0	168265	0	0	312332	0	63818	0	0	652350	105840	72055	144166	93358	0	75855	167474	362730	7736	0	0	369177	0	0	62060	0	732354	174150	105298	3426	272164	287524	284360	350838	201426	66	153784	359912	273789	1360082	398988	361599	0	667573	0	1566079	203083	521391	0	0	569299	0	174341	208124
Species_7	0	0	0	0	0	0	608410	0	574537	476426	17706	12875	0	294	0	1998	1515	0	1262561	0	0	0	0	0	0	0	26943	52358	49188	0	0	0	0	195877	0	0	41474	29586	0	10912	0	0	0	2077771	0	17383	0	0	0	0	0	0	111725	0	1163	0	0	0	0	0	0	0	0	0	0	0	1655	0	0	0	5356	0	0	4151	0	0	213045	0	0	32678	25971	0	0	0	0	0	0	0	9496	0	0	0	44381	0	1789	2757	0	0	0	143085	49998	307064	0	0	135632	0	0	0	0	4205	0	0	0	352569	0	0	0	69	299605	0	0	0	157	0	0	0	95776	0	54032	0	0	0	0	0	258983	0	0	21003	264757	171450	0	0	0	0	0	0	30531	0	1342	590815	0	0	0	0	0	10850	174372	0	0	0	0	0	0	61912	13366	0	0	0	26623	0	0	127513	0	0	0	0	5557	0	0	0	0	0	0	0	140117	59015	0	0	0	205772	0	0	26871	0	0	0	0	0	0	0	0	370584	0	0	0	0	0	0	185447	0	0	387254	0	0	29973	0	0	0	0	0	6204	718484	0	0	0	0	0	257491	100649	0	0	27330	0	0	0	0	837691	0	0	0	0	238915	3020	0	457627	213911	0	0	1599605	0	0	0	0	0	0	679729	0	60819	701016	8797	0	0	0	0	0	0	0	0	0	0	0	143457	0	0	27340	0	0	416	0	0	0	0	211017	31352	0	70002	0	0	0	596823	0	23091	0	0	0	0	0	195011	306107	0
Species_8	0	0	0	0	0	0	0	0	1731276	0	0	0	7705472	807240	0	0	0	0	2391458	0	104864	0	0	0	0	0	34577	324085	95946	0	0	0	0	0	0	0	0	0	0	0	4711943	880141	0	825	0	152917	0	0	0	0	0	0	797329	0	0	1958726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255816	0	0	0	44242	0	0	0	0	0	0	0	1832038	180560	0	84989	0	0	4576353	0	0	16985	0	0	0	0	393223	3438982	0	0	0	0	3129336	0	0	0	0	4050240	1725	0	0	0	0	0	12823	0	0	0	0	0	0	0	73414	0	0	296820	0	0	1424733	1392444	0	107868	125811	0	264622	1793149	0	0	0	0	4378	15230	0	101330	5131	0	2147322	0	0	0	2427	0	29505	0	0	0	0	0	0	492669	39611	60536	0	0	0	0	6149352	0	0	1379519	0	0	0	0	0	0	281261	0	1113414	0	0	1076581	43158	3232634	0	0	2125391	78592	0	0	0	0	0	0	0	6436	0	697892	4072131	0	173493	0	0	0	8828	820323	62974	0	0	5183421	1545838	0	0	3111	2166746	0	8757894	96516	0	0	6170570	5574865	0	0	0	536775	1367493	0	0	0	0	0	125987	1726601	3991601	2106	0	0	0	11028	0	0	65287	0	0	241	0	0	0	0	0	0	3399598	0	32269	0	170722	0	0	0	24463	0	0	0	0	0	4684905	37656	49559	0	0	59651	0	2641740	0	715104	11015	0	2524	0	0	1637723	0	0	1802632	0	2802640	0	0	1457047	838857	0	0	0	135464	0	0
Species_9	0	0	0	0	0	0	0	215907	0	126102	95990	153428	0	391388	0	23658	0	0	0	0	0	0	0	0	0	0	0	104439	729342	0	0	0	0	0	0	0	23464	23938	0	8213	0	0	0	0	0	150489	0	0	0	0	0	0	37912	0	0	0	0	0	12577	293953	0	0	0	0	163915	0	0	0	217073	0	47441	119780	0	5385	251225	534663	0	0	0	206499	518707	1686	0	728641	0	0	0	0	0	0	279309	0	361996	0	0	23240	0	0	0	837266	0	0	0	0	0	0	0	0	202456	0	0	920	0	26313	0	0	0	0	0	0	0	0	200239	0	0	0	14159	0	0	0	0	0	0	0	0	0	0	90492	251018	0	0	869311	0	0	0	0	0	0	0	0	0	0	0	0	0	35341	0	0	0	0	1762210	0	0	0	0	0	0	918	14828	0	0	0	0	0	0	0	20789	0	0	0	0	0	0	0	91070	0	0	0	0	0	0	0	0	0	0	0	1955762	0	372655	0	0	0	28623	0	0	0	0	0	0	0	0	0	455934	0	0	0	0	0	763113	0	0	0	0	0	0	0	0	0	0	0	0	0	1141865	0	0	0	0	0	14023	0	0	0	66144	0	0	1001715	0	0	0	0	0	0	0	0	0	0	0	0	98555	84885	100074	0	0	65170	0	0	0	0	0	1007558	0	0	0	0	0	0	0	0	0	0	0	0	0	20943	0	43591	0	16609	0	0	0	0	182948	0	0	0	0	804115	0	0
Species_10	0	0	0	0	0	315066	0	0	577430	0	119688	0	0	0	0	69378	0	459948	444446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112161	18425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13844	0	0	126	0	0	0	0	0	0	0	152129	4796	0	0	0	302349	173084	0	0	0	0	0	0	0	0	0	0	595874	0	3404	0	0	0	14607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	574	0	0	0	0	0	0	0	0	274347	0	0	0	117672	0	0	0	140213	0	2242	0	0	0	0	0	987405	1391	0	0	0	0	0	0	0	364239	0	0	174943	0	0	0	0	0	0	439501	0	0	505029	0	0	0	0	0	11274	0	7963	355560	0	124292	26124	0	0	4097	0	0	0	0	0	928	0	0	0	0	0	0	0	0	28750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	524	0	0	0	372212	0	0	0	0	0	0	0	0	0	0	0	0	171158	0	7753	0	0	0	0	0	146479	0	0	102881	0	0	0	0	247925	0	0	0	0	0	0	9774	0	0	0	0	0	0	0	0	3930	0	0	0	0	118675	0	0	0	0	0	0	0	0	0	0	0	177613	72	0	722486	262	333502	0	0	3802	615811	87439	0	0	0	0	0	122048	6383	0	0	0	0	0	505700	0	0	0	0	0	0	0
